Speler,Totaal,Datum,Training#,Idnummer,RPE,Totaal afstand (m),Totaal tijd (s),Gemiddelde snelheid (m/s),S1,S2,S3,S4,S5,Aantal sprints,H5060,H6070,H7080,H8090,H90100,Variabele A,Variabele B,Versnelling_negatief4,Versnelling_negatief3,Versnelling_negatief2,Versnelling_negatief1,Versnelling_positief1,Versnelling_positief2,Versnelling_positief3,Versnelling_positief4
Nana Asare,1,7/21/2015,1,1,3,6996.00,8100.00,0.86,3304.00,1767.00,558.00,826.00,179.00,13.00,2759.00,1840.00,768.00,534.00,14.00,61.03,4.24,,,,,,,,
Kalifa Coulibaly,2,7/21/2015,1,2,3,7310.00,8100.00,0.90,3441.00,1621.00,734.00,934.00,232.00,40.00,1354.00,2397.00,2864.00,1242.00,0.00,48.66,7.07,,,,,,,,
Brecht Dejaegere,3,7/21/2015,1,3,3,7644.00,8100.00,0.94,3590.00,1918.00,859.00,813.00,138.00,5.00,2751.00,2927.00,994.00,277.00,0.00,62.23,6.99,,,,,,,,
Laurent Depoitre,4,7/21/2015,1,4,5,7553.00,8100.00,0.93,3604.00,1947.00,730.00,764.00,201.00,13.00,2583.00,3573.00,933.00,368.00,0.00,63.65,,,,,,,,,
Thomas Foket,5,7/21/2015,1,5,3,8397.00,8100.00,1.04,3144.00,2329.00,1531.00,800.00,246.00,8.00,2283.00,2896.00,1705.00,388.00,0.00,68.49,5.91,,,,,,,,
Haris Hajradinovic,6,7/21/2015,1,6,4,7887.00,8100.00,0.97,3879.00,1787.00,787.00,831.00,283.00,15.00,2624.00,2164.00,930.00,469.00,498.00,65.00,,,,,,,,,
Hatem Elhamed,7,7/21/2015,1,7,5,6718.00,8100.00,0.83,3080.00,1920.00,560.00,696.00,105.00,18.00,2821.00,1526.00,602.00,23.00,0.00,58.01,,,,,,,,,
Sven Kums,8,7/21/2015,1,9,4,6949.00,8100.00,0.86,3314.00,1693.00,765.00,780.00,91.00,2.00,2885.00,2039.00,737.00,324.00,0.00,62.23,,,,,,,,,
Renato Neto,9,7/21/2015,1,11,4,7385.00,8100.00,0.91,3440.00,1705.00,851.00,849.00,210.00,38.00,1665.00,2728.00,1860.00,498.00,168.00,61.10,6.69,,,,,,,,
Lasse Nielsen,10,7/21/2015,1,12,3,7488.00,8100.00,0.92,3306.00,2121.00,784.00,806.00,141.00,8.00,1970.00,2178.00,1612.00,762.00,45.00,57.75,8.03,,,,,,,,
Mustapha Oussalah,11,7/21/2015,1,13,2,7153.00,8100.00,0.88,3672.00,1646.00,677.00,744.00,67.00,5.00,2925.00,1188.00,517.00,162.00,0.00,62.95,,,,,,,,,
Nicklas Pedersen,12,7/21/2015,1,14,5,7060.00,8100.00,0.87,3534.00,1622.00,731.00,727.00,154.00,16.00,1952.00,3392.00,1376.00,689.00,237.00,59.21,,,,,,,,,
Marko Poletanovic,13,7/21/2015,1,15,2,6945.00,8100.00,0.86,3330.00,1939.00,729.00,622.00,54.00,9.00,2837.00,1593.00,566.00,419.00,0.00,58.58,,,,,,,,,
Rafael Rafinha,14,7/21/2015,1,16,6,7681.00,8100.00,0.95,3400.00,1986.00,952.00,828.00,158.00,9.00,2242.00,2008.00,913.00,481.00,0.00,57.53,,,,,,,,,
