Speler,Totaal,Datum,Training#,Idnummer,RPE,Totaal afstand (m),Totaal tijd (s),Gemiddelde snelheid (m/s),S1,S2,S3,S4,S5,Aantal sprints,H5060,H6070,H7080,H8090,H90100,Variabele A,Variabele B,Versnelling_negatief4,Versnelling_negatief3,Versnelling_negatief2,Versnelling_negatief1,Versnelling_positief1,Versnelling_positief2,Versnelling_positief3,Versnelling_positief4,Temperature,Humidity,Windspeed,Visibility,Weather Type,overall,phy,pac
Nana Asare,1,2015-07-21,1,1,3,6996.0,8100.0,0.86,3304.0,1767.0,558.0,826.0,179.0,13.0,2759.0,1840.0,768.0,534.0,14.0,61.03,4.24,,,,,,,,,23,68,18,8,122,71,71,78
Kalifa Coulibaly,2,2015-07-21,1,2,3,7310.0,8100.0,0.9,3441.0,1621.0,734.0,934.0,232.0,40.0,1354.0,2397.0,2864.0,1242.0,0.0,48.66,7.07,,,,,,,,,23,68,18,8,122,64,67,70
Brecht Dejaegere,3,2015-07-21,1,3,3,7644.0,8100.0,0.94,3590.0,1918.0,859.0,813.0,138.0,5.0,2751.0,2927.0,994.0,277.0,0.0,62.23,6.99,,,,,,,,,23,68,18,8,122,71,73,75
Laurent Depoitre,4,2015-07-21,1,4,5,7553.0,8100.0,0.93,3604.0,1947.0,730.0,764.0,201.0,13.0,2583.0,3573.0,933.0,368.0,0.0,63.65,,,,,,,,,,23,68,18,8,122,70,85,71
Thomas Foket,5,2015-07-21,1,5,3,8397.0,8100.0,1.04,3144.0,2329.0,1531.0,800.0,246.0,8.0,2283.0,2896.0,1705.0,388.0,0.0,68.49,5.91,,,,,,,,,23,68,18,8,122,69,66,78
Haris Hajradinovic,6,2015-07-21,1,6,4,7887.0,8100.0,0.97,3879.0,1787.0,787.0,831.0,283.0,15.0,2624.0,2164.0,930.0,469.0,498.0,65.0,,,,,,,,,,23,68,18,8,122,67,68,62
Hatem Elhamed,7,2015-07-21,1,7,5,6718.0,8100.0,0.83,3080.0,1920.0,560.0,696.0,105.0,18.0,2821.0,1526.0,602.0,23.0,0.0,58.01,,,,,,,,,,23,68,18,8,122,63,54,73
Sven Kums,8,2015-07-21,1,9,4,6949.0,8100.0,0.86,3314.0,1693.0,765.0,780.0,91.0,2.0,2885.0,2039.0,737.0,324.0,0.0,62.23,,,,,,,,,,23,68,18,8,122,71,64,68
Renato Neto,9,2015-07-21,1,11,4,7385.0,8100.0,0.91,3440.0,1705.0,851.0,849.0,210.0,38.0,1665.0,2728.0,1860.0,498.0,168.0,61.1,6.69,,,,,,,,,23,68,18,8,122,70,80,64
Lasse Nielsen,10,2015-07-21,1,12,3,7488.0,8100.0,0.92,3306.0,2121.0,784.0,806.0,141.0,8.0,1970.0,2178.0,1612.0,762.0,45.0,57.75,8.03,,,,,,,,,23,68,18,8,122,68,74,66
Mustapha Oussalah,11,2015-07-21,1,13,2,7153.0,8100.0,0.88,3672.0,1646.0,677.0,744.0,67.0,5.0,2925.0,1188.0,517.0,162.0,0.0,62.95,,,,,,,,,,23,68,18,8,122,66,65,65
Nicklas Pedersen,12,2015-07-21,1,14,5,7060.0,8100.0,0.87,3534.0,1622.0,731.0,727.0,154.0,16.0,1952.0,3392.0,1376.0,689.0,237.0,59.21,,,,,,,,,,23,68,18,8,122,69,60,59
Marko Poletanovic,13,2015-07-21,1,15,2,6945.0,8100.0,0.86,3330.0,1939.0,729.0,622.0,54.0,9.0,2837.0,1593.0,566.0,419.0,0.0,58.58,,,,,,,,,,23,68,18,8,122,66,66,63
Rafael Rafinha,14,2015-07-21,1,16,6,7681.0,8100.0,0.95,3400.0,1986.0,952.0,828.0,158.0,9.0,2242.0,2008.0,913.0,481.0,0.0,57.53,,,,,,,,,,23,68,18,8,122,65,70,72
Benito Raman,15,2015-07-21,1,17,3,7736.0,8100.0,0.96,3086.0,2022.0,1151.0,898.0,259.0,28.0,2508.0,2760.0,1250.0,173.0,0.0,63.14,,,,,,,,,,23,68,18,8,122,68,43,92
