Speler;ID-nummer;Tijd (1=Stijn. 2=polar);Totaal;Datum training;Training;ID-nummer;Naam speler;RPE;Afstand;Tijd;Tijd (s);Gem v;S1;S2;S3;S4;S5;Aantal sprints;HF-zone 50-60;HF-zone 60-70;HF-zone 70-80;HF-zone 80-90;HF-zone 90-100;;;;;;
Nana Asare;1;1;1;21-7-2015;1;1;Nana Asare;3;6996;135;8100;0.863703704;3304;1767;558;826;179;13;2759;1840;768;534;14;;;0.002001144;0.001728395;;
Kalifa Coulibaly;2;1;2;21-7-2015;1;2;Kalifa Coulibaly;3;7310;135;8100;0.902469136;3441;1621;734;934;232;40;1354;2397;2864;1242;0;;;0;0;;
Brecht Dejaegere;3;1;3;21-7-2015;1;3;Brecht Dejaegere;3;7644;135;8100;0.943703704;3590;1918;859;813;138;5;2751;2927;994;277;0;;;0;0;;
Laurent Depoitre;4;1;4;21-7-2015;1;4;Laurent Depoitre;5;7553;135;8100;0.932469136;3604;1947;730;764;201;13;2583;3573;933;368;0;;;0;0;;
Thomas Foket;5;1;5;21-7-2015;1;5;Thomas Foket;3;8397;135;8100;1.036666667;3144;2329;1531;800;246;8;2283;2896;1705;388;0;;;0;0;;
Hatem Elhamed;6;1;6;21-7-2015;1;6;Haris Hajradinovic;4;7887;135;8100;0.973703704;3879;1787;787;831;283;15;2624;2164;930;469;498;;;0.063141879;0.061481481;;
Haris Hajradinovic;7;1;7;21-7-2015;1;7;Hatem Elhamed;5;6718;135;8100;0.829382716;3080;1920;560;696;105;18;2821;1526;602;23;0;;;0;0;;
Erik Johansson;8;1;8;21-7-2015;1;9;Sven Kums;4;6949;135;8100;0.857901235;3314;1693;765;780;91;2;2885;2039;737;324;0;;;0;0;;
Sven Kums;9;1;9;21-7-2015;1;11;Renato Neto;4;7385;135;8100;0.911728395;3440;1705;851;849;210;38;1665;2728;1860;498;168;;;0.022748815;0.020740741;;
Danijel Milicevic;10;1;10;21-7-2015;1;12;Lasse Nielsen;3;7488;135;8100;0.924444444;3306;2121;784;806;141;8;1970;2178;1612;762;45;;;0.006009615;0.005555556;;
Renato Neto;11;1;11;21-7-2015;1;13;Mustapha Oussalah;2;7153;135;8100;0.88308642;3672;1646;677;744;67;5;2925;1188;517;162;0;;;0;0;;
Lasse Nielsen;12;1;12;21-7-2015;1;14;Nicklas Pedersen;5;7060;135;8100;0.871604938;3534;1622;731;727;154;16;1952;3392;1376;689;237;;;0.033569405;0.029259259;;
Mustapha Oussalah;13;1;13;21-7-2015;1;15;Marko Poletanovic;2;6945;135;8100;0.857407407;3330;1939;729;622;54;9;2837;1593;566;419;0;;;0;0;;
Nicklas Pedersen;14;1;14;21-7-2015;1;16;Rafael Rafinha;6;7681;135;8100;0.948271605;3400;1986;952;828;158;9;2242;2008;913;481;0;;;0;0;;
Marko Poletanovic;15;1;15;21-7-2015;1;17;Benito Raman;3;7736;135;8100;0.955061728;3086;2022;1151;898;259;28;2508;2760;1250;173;0;;;0;0;;
