"collection1"
"match_type.text","match_type.src","match_type.alt","home.text","home.href","away","datum","score"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","RFC Wetteren","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/rfc-wetteren","KAA Gent","17-06-2015 - 19:00","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","JV De Pinte","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/jv-de-pinte","KAA Gent","19-06-2015 - 19:30","0 - 4"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","SC Dikkelvenne","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/sc-dikkelvenne","KAA Gent","20-06-2015 - 19:00","1 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","KSV Oudenaarde","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/ksv-oudenaarde","KAA Gent","26-06-2015 - 19:00","2 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","SK Deinze","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/sk-deinze","KAA Gent","27-06-2015 - 19:00","2 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","KFC Merelbeke","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/kfc-merelbeke","KAA Gent","30-06-2015 - 19:30","3 - 7"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","Ujpest FC","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/ujpest-fc","KAA Gent","01-07-2015 - 19:00","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","FC Samara","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/fc-samara","KAA Gent","03-07-2015 - 19:00","2 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","ASV Geel","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/asv-geel","KAA Gent","04-07-2015 - 17:00","2 - 4"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-oefenwedstrijd.png","Oefenwedstrijden","KSV Roeselare","http://www.kaagent.be/nl/team/games/oefenwedstrijden-2015-2016/all/ksv-roeselare","KAA Gent","11-07-2015 - 19:30","1 - 0"
