player,date,overall,phy,pac
Nana Asare,2007-08-30,64,53,74
Nana Asare,2008-02-22,64,53,74
Nana Asare,2008-08-30,65,51,73
Nana Asare,2009-02-22,67,51,76
Nana Asare,2009-08-30,69,62,77
Nana Asare,2010-02-22,70,65,78
Nana Asare,2010-08-30,72,68,78
Nana Asare,2011-02-22,71,70,78
Nana Asare,2011-08-30,70,72,79
Nana Asare,2012-02-22,71,72,82
Nana Asare,2012-08-31,71,72,76
Nana Asare,2013-02-15,72,73,75
Nana Asare,2013-02-22,72,73,75
Nana Asare,2013-03-01,72,73,75
Nana Asare,2013-03-04,72,73,75
Nana Asare,2013-03-08,72,73,75
Nana Asare,2013-03-15,72,73,75
Nana Asare,2013-03-22,72,73,75
Nana Asare,2013-03-28,72,73,75
Nana Asare,2013-04-05,72,73,75
Nana Asare,2013-04-12,72,73,75
Nana Asare,2013-04-19,72,73,75
Nana Asare,2013-04-26,72,73,75
Nana Asare,2013-05-03,72,73,75
Nana Asare,2013-05-10,72,73,75
Nana Asare,2013-05-17,72,73,75
Nana Asare,2013-05-24,72,73,75
Nana Asare,2013-05-31,72,73,75
Nana Asare,2013-06-07,72,73,75
Nana Asare,2013-06-14,72,73,75
Nana Asare,2013-06-21,72,73,75
Nana Asare,2013-06-28,72,73,75
Nana Asare,2013-07-05,72,73,75
Nana Asare,2013-07-12,72,73,75
Nana Asare,2013-07-19,72,73,75
Nana Asare,2013-07-26,72,73,75
Nana Asare,2013-08-02,72,73,75
Nana Asare,2013-08-09,72,73,75
Nana Asare,2013-08-16,72,73,75
Nana Asare,2013-08-23,72,73,75
Nana Asare,2013-08-30,72,73,75
Nana Asare,2013-09-06,72,73,75
Nana Asare,2013-09-13,72,73,75
Nana Asare,2013-09-20,72,73,75
Nana Asare,2013-09-20,71,72,75
Nana Asare,2013-09-27,71,72,75
Nana Asare,2013-10-04,71,72,75
Nana Asare,2013-10-11,71,72,75
Nana Asare,2013-10-18,71,72,75
Nana Asare,2013-10-25,71,72,75
Nana Asare,2013-11-01,71,72,75
Nana Asare,2013-11-08,71,72,75
Nana Asare,2013-11-15,71,72,75
Nana Asare,2013-11-22,71,72,75
Nana Asare,2013-11-29,71,72,75
Nana Asare,2013-12-06,71,72,75
Nana Asare,2013-12-13,71,72,75
Nana Asare,2013-12-20,71,72,75
Nana Asare,2013-12-27,68,72,75
Nana Asare,2014-01-03,68,72,75
Nana Asare,2014-01-10,68,72,75
Nana Asare,2014-01-17,68,71,76
Nana Asare,2014-01-24,68,71,76
Nana Asare,2014-01-31,68,71,76
Nana Asare,2014-02-07,68,71,76
Nana Asare,2014-02-14,68,71,76
Nana Asare,2014-02-21,68,71,76
Nana Asare,2014-02-28,68,71,76
Nana Asare,2014-03-07,68,71,76
Nana Asare,2014-03-14,68,71,76
Nana Asare,2014-03-21,68,71,76
Nana Asare,2014-03-28,68,71,76
Nana Asare,2014-04-04,68,71,76
Nana Asare,2014-04-11,68,71,76
Nana Asare,2014-04-18,68,71,76
Nana Asare,2014-04-25,68,71,76
Nana Asare,2014-05-02,68,71,76
Nana Asare,2014-05-09,68,71,76
Nana Asare,2014-05-16,68,71,76
Nana Asare,2014-05-23,68,71,76
Nana Asare,2014-05-30,68,71,76
Nana Asare,2014-06-06,68,71,76
Nana Asare,2014-06-13,68,71,76
Nana Asare,2014-06-20,68,71,76
Nana Asare,2014-07-18,68,71,76
Nana Asare,2014-07-20,68,71,76
Nana Asare,2014-07-25,68,71,76
Nana Asare,2014-08-01,68,71,76
Nana Asare,2014-08-08,68,71,76
Nana Asare,2014-08-15,68,71,76
Nana Asare,2014-08-22,68,71,76
Nana Asare,2014-08-29,68,71,76
Nana Asare,2014-09-05,68,71,76
Nana Asare,2014-09-12,68,71,76
Nana Asare,2014-09-18,69,69,76
Nana Asare,2014-09-19,68,71,76
Nana Asare,2014-09-23,69,69,76
