Training#,Datum,Start training,Eind training,,
1,7/21/2015,10:00,12:15,,
2,7/23/2015,11:00,11:30,,
3,7/27/2015,10:30,12:00,,Wedstrijddag +1
4,7/29/2015,11:25,12:25,,Wedstrijddag +3
5,8/1/2015,10:25,11:55,,Wedstrijddag +1
6,8/3/2015,8:35,9:45,,Wedstrijddag +3
7,8/4/2015,10:00,10:50,,Wedstrijddag +4
8,8/6/2015,10:00,11:30,,Wedstrijddag +6
9,8/10/2015,10:45,12:10,,Wedstrijddag +1
10,8/12/2015,9:30,10:20,,Wedstrijddag +3
11,8/26/2015,10:30,12:35,,Wedstrijddag +3
12,9/7/2015,9:00,10:25,,Wedstrijddag +9
13,9/8/2015,10:10,11:45,,Wedstrijddag +10
14,11/9/2016,10:30,12:25,,Wedstrijddag +3
15,11/10/2016,10:25,11:40,,Wedstrijddag +4
16,11/11/2016,10:30,12:25,,Wedstrijddag +5
17,11/16/2016,15:00,16:30,,Wedstrijddag +10
18,11/22/2016,11:00,12:35,,Wedstrijddag +3
19,11/23/2016,11:40,13:00,,Wedstrijddag +4
20,11/25/2016,11:00,12:30,,Wedstrijddag +1
21,11/25/2016,11:00,12:00,,Wedstrijddag +1
22,11/26/2016,14:50,15:50,,Wedstrijddag +2
23,11/28/2016,10:30,11:53,,Wedstrijddag +1
