Date,Temperature,Humidity,Windspeed,Visibility,Weather Type
2015-09-07 00:00:00,11,86,10,10,119
2015-09-07 01:00:00,11,86,10,10,119
2015-09-07 02:00:00,11,85,9,10,122
2015-09-07 03:00:00,11,85,9,10,122
2015-09-07 04:00:00,11,85,9,10,122
2015-09-07 05:00:00,11,85,9,10,122
2015-09-07 06:00:00,11,85,9,10,122
2015-09-07 07:00:00,12,84,10,10,122
2015-09-07 08:00:00,13,83,12,10,353
2015-09-07 09:00:00,14,82,13,10,353
2015-09-07 10:00:00,15,79,13,10,353
2015-09-07 11:00:00,15,76,12,10,353
2015-09-07 12:00:00,15,74,12,10,353
2015-09-07 13:00:00,15,71,12,10,353
2015-09-07 14:00:00,16,68,12,10,353
2015-09-07 15:00:00,16,66,12,10,353
2015-09-07 16:00:00,15,69,12,10,353
2015-09-07 17:00:00,15,72,12,10,116
2015-09-07 18:00:00,15,75,12,10,116
2015-09-07 19:00:00,14,80,11,10,116
2015-09-07 20:00:00,14,85,10,10,116
2015-09-07 21:00:00,13,90,9,10,116
2015-09-07 22:00:00,12,91,8,8,116
2015-09-07 23:00:00,12,93,8,6,143
2015-09-08 00:00:00,12,95,7,5,143
2015-09-08 01:00:00,11,94,7,6,143
2015-09-08 02:00:00,11,94,6,6,116
2015-09-08 03:00:00,11,93,6,7,116
2015-09-08 04:00:00,11,92,5,8,116
2015-09-08 05:00:00,11,92,5,9,122
2015-09-08 06:00:00,11,91,5,10,122
2015-09-08 07:00:00,12,87,5,10,122
2015-09-08 08:00:00,13,83,6,10,176
2015-09-08 09:00:00,15,79,7,9,176
2015-09-08 10:00:00,16,74,9,9,176
2015-09-08 11:00:00,17,69,11,10,353
2015-09-08 12:00:00,18,64,13,10,353
2015-09-08 13:00:00,19,62,13,10,353
2015-09-08 14:00:00,19,60,13,10,353
2015-09-08 15:00:00,20,58,14,10,353
2015-09-08 16:00:00,19,63,13,10,353
2015-09-08 17:00:00,18,67,12,10,176
2015-09-08 18:00:00,18,72,10,10,176
2015-09-08 19:00:00,16,76,9,10,176
2015-09-08 20:00:00,15,81,9,10,116
2015-09-08 21:00:00,14,85,8,10,116
2015-09-08 22:00:00,13,88,7,8,116
2015-09-08 23:00:00,12,91,7,6,143
2015-09-09 00:00:00,11,94,7,5,143
2015-09-09 01:00:00,11,95,6,3,143
2015-09-09 02:00:00,11,96,6,2,248
2015-09-09 03:00:00,10,97,6,1,248
2015-09-09 04:00:00,10,97,5,1,248
2015-09-09 05:00:00,10,96,5,1,143
2015-09-09 06:00:00,10,96,4,1,143
2015-09-09 07:00:00,10,89,5,3,143
2015-09-09 08:00:00,11,82,6,5,113
2015-09-09 09:00:00,11,74,7,7,113
2015-09-09 10:00:00,13,68,9,8,113
2015-09-09 11:00:00,15,62,11,9,113
2015-09-09 12:00:00,17,55,13,10,113
2015-09-09 13:00:00,18,54,14,10,113
2015-09-09 14:00:00,19,52,15,10,113
2015-09-09 15:00:00,20,50,17,10,113
2015-09-09 16:00:00,19,54,16,10,113
2015-09-09 17:00:00,19,57,16,10,113
